Coin,Signal Type,Analysis Type,Month,Window (months),Trend Value,Price,Future Price,Price Change (%),Followed by Negative Trend,Price Drop > 10%,Followed by Positive Trend,Price Rise > 10%
bitcoin,Trough,Original,2021-12,3,35.0,51282.677734375,43520.0546875,-15.136930031388903,,,True,False
bitcoin,Trough,Original,2021-12,6,35.0,51282.677734375,25310.79736328125,-50.644548058933914,,,True,False
bitcoin,Trough,Original,2022-04,1,24.0,42070.1142578125,33939.75390625,-19.32573869835088,,,False,False
bitcoin,Trough,Original,2022-04,3,24.0,42070.1142578125,21674.224609375,-48.4807089504159,,,False,False
bitcoin,Trough,Original,2022-04,6,24.0,42070.1142578125,19808.77392578125,-52.91485588940914,,,False,False
bitcoin,Trough,Original,2023-09,1,15.0,26330.24951171875,30835.98291015625,17.112383976582304,,,False,True
bitcoin,Trough,Original,2023-09,3,15.0,26330.24951171875,40579.517578125,54.11748210006273,,,True,True
bitcoin,Trough,Original,2023-09,6,15.0,26330.24951171875,66393.9228515625,152.15835050105656,,,True,True
bitcoin,Trough,Original,2024-10,1,19.0,66505.802734375,83281.275390625,25.224073639485933,,,True,True
bitcoin,Trough,Original,2024-10,3,19.0,66505.802734375,98551.27734375,48.18447908577996,,,True,True
bitcoin,Peak,Normalized,2015-07,1,0.5838742081211427,278.97350311279297,250.00600051879883,-10.383603557604596,False,True,,
bitcoin,Peak,Normalized,2015-07,3,0.5838742081211427,278.97350311279297,279.9887466430664,0.36392113191587233,False,False,,
bitcoin,Peak,Normalized,2015-07,6,0.5838742081211427,278.97350311279297,404.33399963378906,44.936345252226715,False,False,,
bitcoin,Peak,Normalized,2015-11,1,2.0109991663496096,372.2212600708008,406.63724517822266,9.246109451371895,False,False,,
bitcoin,Peak,Normalized,2015-11,3,2.0109991663496096,372.2212600708008,405.7624969482422,9.011101856745494,False,False,,
bitcoin,Peak,Normalized,2015-11,6,2.0109991663496096,372.2212600708008,492.8047561645508,32.395649853749255,False,False,,
bitcoin,Peak,Normalized,2015-12,1,1.6254712740448838,406.63724517822266,404.33399963378906,-0.5664128339803497,False,False,,
bitcoin,Peak,Normalized,2015-12,3,1.6254712740448838,406.63724517822266,422.0835037231446,3.7985351140553005,False,False,,
bitcoin,Peak,Normalized,2015-12,6,1.6254712740448838,406.63724517822266,627.0174865722656,54.19578359022519,False,False,,
bitcoin,Peak,Normalized,2016-06,1,2.140872096444188,627.0174865722656,653.49951171875,4.22349068624137,False,False,,
bitcoin,Peak,Normalized,2016-06,3,2.140872096444188,627.0174865722656,596.2274932861328,-4.9105477830376545,False,False,,
bitcoin,Peak,Normalized,2016-06,6,2.140872096444188,627.0174865722656,858.8079986572266,36.96715275870483,False,False,,
bitcoin,Peak,Normalized,2016-12,1,1.8803495115840256,858.8079986572266,970.229248046875,12.973941738299954,False,False,,
bitcoin,Peak,Normalized,2016-12,3,1.8803495115840256,858.8079986572266,1108.9632873535156,29.12819734881542,False,False,,
bitcoin,Peak,Normalized,2016-12,6,1.8803495115840256,858.8079986572266,2495.510009765625,190.57833807643078,False,False,,
bitcoin,Peak,Normalized,2017-01,1,2.1321159366570424,970.229248046875,1074.4979858398438,10.746814528923702,False,False,,
bitcoin,Peak,Normalized,2017-01,3,2.1321159366570424,970.229248046875,1207.1499938964844,24.41904800608144,False,False,,
bitcoin,Peak,Normalized,2017-01,6,2.1321159366570424,970.229248046875,2531.7775268554688,160.9463208774706,False,False,,
bitcoin,Peak,Normalized,2017-02,1,1.6583123951776997,1074.4979858398438,1108.9632873535156,3.207572463407949,False,False,,
bitcoin,Peak,Normalized,2017-02,3,1.6583123951776997,1074.4979858398438,1936.6799926757812,80.24044886059447,False,False,,
