Month,crypto,bitcoin,ethereum,bitcoin_mean,ethereum_mean,solana_mean,bitcoin_zscore,bitcoin_relative,ethereum_zscore,ethereum_relative,crypto_zscore,crypto_relative,bitcoin_normalized,ethereum_normalized,crypto_normalized,pct_change,positive_trend,negative_trend,bitcoin_mean_bull_1m,bitcoin_mean_bear_1m,bitcoin_mean_bull_3m,bitcoin_mean_bear_3m,bitcoin_mean_bull_6m,bitcoin_mean_bear_6m,trend_peak,trend_trough,ethereum_mean_bull_1m,ethereum_mean_bear_1m,ethereum_mean_bull_3m,ethereum_mean_bear_3m,ethereum_mean_bull_6m,ethereum_mean_bear_6m,bitcoin_mean_pct_change,bitcoin_mean_positive_trend,bitcoin_mean_negative_trend,bitcoin_zscore_peak,bitcoin_zscore_trough,bitcoin_norm_peak,bitcoin_norm_trough,ethereum_mean_pct_change,ethereum_mean_positive_trend,ethereum_mean_negative_trend,ethereum_zscore_peak,ethereum_zscore_trough,ethereum_norm_peak,ethereum_norm_trough
2016-06,1.0,5.0,3.0,627.0174865722656,,,2.140872096444188,100.0,2.169187439955308,100.0,1.1328430311977622,100.0,2.140872096444188,2.169187439955308,1.1328430311977622,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,48.552947708551656,True,False,True,False,True,False,,False,False,True,False,True,False
2016-07,1.0,3.0,2.0,653.49951171875,,,-0.4281744192888378,60.0,0.995723363160911,66.66666666666666,0.9574271077563381,100.0,-0.4281744192888378,0.995723363160911,0.9574271077563381,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,49.4674892220603,True,False,False,False,False,False,,False,False,False,False,False,False
2016-08,1.0,3.0,1.0,589.3817443847656,,,-0.4281744192888378,60.0,-0.04161153637758182,33.33333333333333,0.8091735937126869,100.0,-0.4281744192888378,-0.04161153637758182,0.8091735937126869,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,19.597413988424893,True,False,False,False,False,False,,False,False,False,False,False,False
2016-09,1.0,3.0,1.0,596.2274932861328,,,-0.6232319625115875,60.0,-0.12189466158754322,33.33333333333333,0.6770032003863298,100.0,-0.6232319625115875,-0.12189466158754322,0.6770032003863298,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-4.910547783037655,False,False,False,True,False,True,,False,False,False,False,False,False
2016-10,1.0,3.0,1.0,660.1954956054688,,,-0.6232319625115875,60.0,-0.21202311764637594,33.33333333333333,0.5527707983925665,100.0,-0.6232319625115875,-0.21202311764637594,0.5527707983925665,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0246348721987264,False,False,False,False,False,False,,False,False,False,False,False,False
2016-11,1.0,4.0,1.0,720.3552398681641,,,0.8725247475162231,80.0,-0.3173567512788413,33.33333333333333,0.4281744192888373,100.0,0.8725247475162231,-0.3173567512788413,0.4281744192888373,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,22.222183963318543,True,False,False,False,False,False,,False,False,False,False,False,False
2016-12,1.0,5.0,1.0,858.8079986572266,,,1.8803495115840256,100.0,-0.44760834075697065,33.33333333333333,0.28867513459481225,100.0,1.8803495115840256,-0.44760834075697065,0.28867513459481225,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,44.04032157656306,True,False,True,False,True,False,,False,False,False,False,False,False
2017-01,1.0,6.0,1.0,970.229248046875,,,2.1321159366570424,100.0,-0.6232319625115879,33.33333333333333,,100.0,2.1321159366570424,-0.6232319625115879,,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,46.9609009005844,True,False,True,False,True,False,,False,False,False,True,False,True
2017-02,1.0,6.0,1.0,1074.4979858398438,,,1.6583123951776997,100.0,-0.6232319625115879,33.33333333333333,,100.0,1.6583123951776997,-0.6232319625115879,,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,49.16223640387389,True,False,True,False,True,False,,False,False,False,False,False,False
2017-03,2.0,7.0,5.0,1108.9632873535156,,,1.8576814560512958,100.0,2.70801280154532,100.0,3.1754264805429435,100.0,1.8576814560512958,2.70801280154532,3.1754264805429435,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,29.12819734881542,True,False,True,False,True,False,,False,False,True,False,True,False
2017-04,3.0,6.0,4.0,1207.1499938964844,,,0.9814954576223638,85.71428571428571,1.5108065794747947,80.0,2.8153988328894535,100.0,0.9814954576223638,1.5108065794747947,2.8153988328894535,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,24.419048006081432,True,False,False,True,False,True,,False,False,True,True,True,True
2017-05,8.0,15.0,13.0,1936.6799926757812,,,2.864357773488754,100.0,2.9165093176889134,100.0,3.026545170503781,100.0,2.864357773488754,2.9165093176889134,3.026545170503781,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,80.24044886059447,True,False,True,False,True,False,,False,False,True,False,True,False
2017-06,15.0,15.0,29.0,2495.510009765625,,,2.019097418641535,100.0,2.883567344440088,100.0,2.8002828711428145,100.0,2.019097418641535,2.883567344440088,2.8002828711428145,,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,125.03089491096074,True,False,True,False,True,False,,False,False,True,False,True,False
2017-07,12.0,13.0,17.0,2531.7775268554688,,,1.2822225549146562,86.66666666666667,1.203083380903504,58.620689655172406,1.6348502239111868,80.0,1.2822225549146562,1.203083380903504,1.6348502239111868,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,109.73180960580562,True,False,False,True,False,True,,False,False,False,False,False,False
2017-08,18.0,21.0,15.0,3744.83251953125,,,2.113266573557014,100.0,0.8333302838964728,51.724137931034484,2.0150253592359597,100.0,2.113266573557014,0.8333302838964728,2.0150253592359597,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,93.36351558820337,True,False,True,False,True,False,,False,False,False,False,False,False
2017-09,20.0,21.0,13.0,4240.532470703125,,,1.6614613415601016,100.0,0.5098556795550712,44.827586206896555,1.770140033441671,100.0,1.6614613415601016,0.5098556795550712,1.770140033441671,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,69.92648613344532,True,False,True,False,True,False,,False,False,False,False,False,False
2017-10,19.0,22.0,12.0,5360.982421875,,,1.4819179329824614,100.0,0.30576575328694694,41.37931034482759,1.3412197818796698,95.0,1.4819179329824614,0.30576575328694694,1.3412197818796698,,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,111.74776871226419,True,False,False,True,False,True,,False,False,False,True,False,True
2017-11,31.0,46.0,21.0,8427.744995117188,393.1520004272461,,2.6401017738801213,100.0,1.1244411127720093,72.41379310344827,2.0411472070528727,100.0,2.6401017738801213,1.1244411127720093,2.0411472070528727,,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,125.04998424260934,True,False,True,False,True,False,,False,False,False,False,False,False
2017-12,92.0,100.0,38.0,13534.66259765625,624.5742416381836,,2.882089366999833,100.0,2.1314991921145823,100.0,2.945145111125682,100.0,2.882089366999833,2.1314991921145823,2.945145111125682,,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,219.17365781689347,True,False,True,False,True,False,,False,False,True,False,True,False
2018-01,100.0,57.0,38.0,12861.99755859375,1012.2377777099608,,1.0673123629104848,56.99999999999999,1.6899749369357286,100.0,2.184312309713258,100.0,1.0673123629104848,1.6899749369357286,2.184312309713258,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,139.9186668867173,True,False,False,False,False,False,,False,False,True,False,True,False
2018-02,51.0,41.0,17.0,9660.489990234377,927.5844879150392,,0.3936975975628101,41.0,-0.13348623342516966,44.73684210526316,0.6058629221418524,51.0,0.3936975975628101,-0.13348623342516966,0.6058629221418524,135.93533465606552,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,14.627222297677612,True,False,False,False,False,False,135.93533465606552,True,False,False,False,False,False
2018-03,29.0,25.0,11.0,8936.639892578125,625.3510055541992,,-0.26114601524351994,25.0,-0.7474825474418508,28.947368421052634,-0.13061676275032416,28.999999999999996,-0.26114601524351994,-0.7474825474418508,-0.13061676275032416,0.12436694699067274,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,-33.972200429099345,False,True,False,False,False,False,0.12436694699067274,False,False,False,False,False,False
2018-04,23.0,18.0,9.0,8128.9500732421875,534.9645004272461,,-0.5861863499990534,18.0,-1.0264224126688208,23.684210526315788,-0.3857059615591762,23.0,-0.5861863499990534,-1.0264224126688208,-0.3857059615591762,-47.150312682705376,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,-36.79869681042798,False,True,False,False,False,False,-47.150312682705376,False,True,False,False,False,False
2018-05,19.0,14.0,9.0,8450.204956054688,648.9292602539062,,-0.7390491439886281,14.000000000000002,-0.9658417356560394,23.684210526315788,-0.559060868205385,19.0,-0.7390491439886281,-0.9658417356560394,-0.559060868205385,-30.04095382054901,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,-12.528195106077911,False,True,False,False,False,False,-30.04095382054901,False,True,False,False,False,False
2018-06,16.0,13.0,7.0,6871.5001220703125,516.577995300293,,-0.7678575676888633,13.0,-0.9788170930027755,18.421052631578945,-0.6633371372419712,16.0,-0.7678575676888633,-0.9788170930027755,-0.6633371372419712,-17.393913064473175,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-23.108682853193063,False,True,False,False,False,False,-17.393913064473175,False,True,False,False,False,False
2018-07,14.0,13.0,5.0,7188.202392578125,456.33799743652344,,-0.7678575676888633,13.0,-1.0176743827667967,13.157894736842104,-0.7392561748507884,14.000000000000002,-0.7678575676888633,-1.0176743827667967,-0.7392561748507884,-14.697517859208986,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,-11.572806723966632,False,True,False,False,False,False,-14.697517859208986,False,True,False,False,False,False
2018-08,14.0,13.0,6.0,7136.677490234375,351.7449951171875,,-0.7293850975333623,13.0,-0.8300188538279861,15.789473684210526,-0.7221979062037575,14.000000000000002,-0.7293850975333623,-0.8300188538279861,-0.7221979062037575,-45.79609571318137,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,-15.544326707474143,False,True,False,False,False,False,-45.79609571318137,False,True,False,False,False,False
2018-09,13.0,12.0,6.0,6814.080078125,246.9362564086914,,-0.7258630476944579,12.0,-0.7583089201077475,15.789473684210526,-0.7264555719512777,13.0,-0.7258630476944579,-0.7583089201077475,-0.7264555719512777,-52.19768192697709,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,-0.8356260339847377,False,False,False,False,False,False,-52.19768192697709,False,True,False,False,False,False
